semana_inicio,estacion,precipitacion_mm,dias_con_lluvia
2024-10-21,Nombre de Dios,18.4,3
2024-10-28,Nombre de Dios,14.4,2
2024-11-04,Nombre de Dios,2.1,1
2024-11-11,Nombre de Dios,0.0,0
2024-11-18,Nombre de Dios,3.1,0
2024-11-25,Nombre de Dios,0.0,0
2024-12-02,Nombre de Dios,8.9,1
2024-12-09,Nombre de Dios,6.0,0
2024-12-16,Nombre de Dios,0.0,1
2024-12-23,Nombre de Dios,0.3,0
2024-01-01,Cuencamé,0.0,1
2024-01-08,Cuencamé,0.0,0
2024-01-15,Cuencamé,9.0,1
2024-01-22,Cuencamé,6.9,2
2024-01-29,Cuencamé,0.0,0
2024-02-05,Cuencamé,1.6,0
2024-02-12,Cuencamé,1.9,1
2024-02-19,Cuencamé,0.0,1
2024-02-26,Cuencamé,0.0,0
2024-03-04,Cuencamé,1.1,1
2024-03-11,Cuencamé,0.0,0
2024-03-18,Cuencamé,3.4,1
2024-03-25,Cuencamé,0.7,0
2024-04-01,Cuencamé,0.0,0
2024-04-08,Cuencamé,0.0,0
2024-04-15,Cuencamé,0.0,0
2024-04-22,Cuencamé,5.8,0
2024-04-29,Cuencamé,1.7,0
2024-05-06,Cuencamé,18.4,2
2024-05-13,Cuencamé,0.0,1
2024-05-20,Cuencamé,1.2,0
2024-05-27,Cuencamé,3.2,1
2024-06-03,Cuencamé,3.2,0
2024-06-10,Cuencamé,0.0,1
2024-06-17,Cuencamé,7.6,1
2024-06-24,Cuencamé,2.5,0
2024-07-01,Cuencamé,10.9,1
2024-07-08,Cuencamé,12.9,1
2024-07-15,Cuencamé,12.1,2
2024-07-22,Cuencamé,5.3,1
2024-07-29,Cuencamé,3.5,1
2024-08-05,Cuencamé,21.6,3
2024-08-12,Cuencamé,16.4,2
2024-08-19,Cuencamé,15.4,1
2024-08-26,Cuencamé,17.9,2
2024-09-02,Cuencamé,14.8,2
2024-09-09,Cuencamé,18.5,3
2024-09-16,Cuencamé,16.0,2
2024-09-23,Cuencamé,21.3,3
2024-09-30,Cuencamé,14.3,2
2024-10-07,Cuencamé,16.4,3
2024-10-14,Cuencamé,14.2,2
2024-10-21,Cuencamé,7.4,1
2024-10-28,Cuencamé,7.6,1
2024-11-04,Cuencamé,0.0,0
2024-11-11,Cuencamé,1.0,1
2024-11-18,Cuencamé,0.0,0
2024-11-25,Cuencamé,0.0,1
2024-12-02,Cuencamé,0.0,0
2024-12-09,Cuencamé,0.0,1
2024-12-16,Cuencamé,2.3,0
2024-12-23,Cuencamé,2.7,0
2024-01-01,Guadalupe Victoria,10.6,1
2024-01-08,Guadalupe Victoria,0.0,0
2024-01-15,Guadalupe Victoria,0.5,1
2024-01-22,Guadalupe Victoria,0.0,0
2024-01-29,Guadalupe Victoria,0.0,0
2024-02-05,Guadalupe Victoria,0.0,0
2024-02-12,Guadalupe Victoria,0.0,0
2024-02-19,Guadalupe Victoria,0.0,0
2024-02-26,Guadalupe Victoria,0.0,0
2024-03-04,Guadalupe Victoria,0.6,1
2024-03-11,Guadalupe Victoria,0.7,0
2024-03-18,Guadalupe Victoria,0.0,0
2024-03-25,Guadalupe Victoria,5.7,0
2024-04-01,Guadalupe Victoria,1.3,0
2024-04-08,Guadalupe Victoria,0.0,0
2024-04-15,Guadalupe Victoria,1.0,0
2024-04-22,Guadalupe Victoria,0.0,0
2024-04-29,Guadalupe Victoria,0.0,0
2024-05-06,Guadalupe Victoria,7.6,1
2024-05-13,Guadalupe Victoria,0.0,0
2024-05-20,Guadalupe Victoria,0.0,0
2024-05-27,Guadalupe Victoria,2.7,0
2024-06-03,Guadalupe Victoria,1.6,0
2024-06-10,Guadalupe Victoria,0.0,1
2024-06-17,Guadalupe Victoria,4.2,0
2024-06-24,Guadalupe Victoria,0.0,0
2024-07-01,Guadalupe Victoria,11.8,2
2024-07-08,Guadalupe Victoria,14.6,2
2024-07-15,Guadalupe Victoria,21.8,4
2024-07-22,Guadalupe Victoria,14.9,2
2024-07-29,Guadalupe Victoria,16.1,2
2024-08-05,Guadalupe Victoria,20.5,2
2024-08-12,Guadalupe Victoria,27.7,4
2024-08-19,Guadalupe Victoria,29.0,4
2024-08-26,Guadalupe Victoria,31.6,5
2024-09-02,Guadalupe Victoria,29.1,3
2024-09-09,Guadalupe Victoria,30.4,4
2024-09-16,Guadalupe Victoria,31.6,4
2024-09-23,Guadalupe Victoria,26.8,3
2024-09-30,Guadalupe Victoria,24.2,3
2024-10-07,Guadalupe Victoria,11.9,1
2024-10-14,Guadalupe Victoria,19.1,2
2024-10-21,Guadalupe Victoria,15.1,1
2024-10-28,Guadalupe Victoria,17.8,2
2024-11-04,Guadalupe Victoria,1.1,0
2024-11-11,Guadalupe Victoria,0.0,0
2024-11-18,Guadalupe Victoria,0.0,0
2024-11-25,Guadalupe Victoria,0.0,0
2024-12-02,Guadalupe Victoria,0.0,0
2024-12-09,Guadalupe Victoria,0.0,1
2024-12-16,Guadalupe Victoria,0.0,0
2024-12-23,Guadalupe Victoria,4.4,0
