fecha,presa,nivel_pct,volumen_hm3,capacidad_hm3
2024-05-26,La Tinaja,31.16,17.14,55.0
2024-05-27,La Tinaja,30.97,17.04,55.0
2024-05-28,La Tinaja,30.88,16.99,55.0
2024-05-29,La Tinaja,30.88,16.98,55.0
2024-05-30,La Tinaja,30.96,17.03,55.0
2024-05-31,La Tinaja,30.83,16.95,55.0
2024-06-01,La Tinaja,30.64,16.85,55.0
2024-06-02,La Tinaja,30.52,16.78,55.0
2024-06-03,La Tinaja,30.31,16.67,55.0
2024-06-04,La Tinaja,30.14,16.58,55.0
2024-06-05,La Tinaja,30.24,16.63,55.0
2024-06-06,La Tinaja,30.45,16.75,55.0
2024-06-07,La Tinaja,30.38,16.71,55.0
2024-06-08,La Tinaja,30.4,16.72,55.0
2024-06-09,La Tinaja,30.03,16.52,55.0
2024-06-10,La Tinaja,29.96,16.48,55.0
2024-06-11,La Tinaja,29.98,16.49,55.0
2024-06-12,La Tinaja,29.96,16.48,55.0
2024-06-13,La Tinaja,29.82,16.4,55.0
2024-06-14,La Tinaja,29.48,16.22,55.0
2024-06-15,La Tinaja,29.33,16.13,55.0
2024-06-16,La Tinaja,29.47,16.21,55.0
2024-06-17,La Tinaja,29.21,16.07,55.0
2024-06-18,La Tinaja,29.15,16.03,55.0
2024-06-19,La Tinaja,29.18,16.05,55.0
2024-06-20,La Tinaja,28.99,15.95,55.0
2024-06-21,La Tinaja,29.42,16.18,55.0
2024-06-22,La Tinaja,29.49,16.22,55.0
2024-06-23,La Tinaja,29.64,16.3,55.0
2024-06-24,La Tinaja,29.4,16.17,55.0
2024-06-25,La Tinaja,29.32,16.13,55.0
2024-06-26,La Tinaja,29.47,16.21,55.0
2024-06-27,La Tinaja,29.33,16.13,55.0
2024-06-28,La Tinaja,29.48,16.22,55.0
2024-06-29,La Tinaja,29.84,16.41,55.0
2024-06-30,La Tinaja,29.6,16.28,55.0
2024-07-01,La Tinaja,29.59,16.28,55.0
2024-07-02,La Tinaja,29.62,16.29,55.0
2024-07-03,La Tinaja,29.3,16.11,55.0
2024-07-04,La Tinaja,30.33,16.68,55.0
2024-07-05,La Tinaja,30.3,16.67,55.0
2024-07-06,La Tinaja,30.15,16.58,55.0
2024-07-07,La Tinaja,30.47,16.76,55.0
2024-07-08,La Tinaja,30.26,16.64,55.0
2024-07-09,La Tinaja,31.82,17.5,55.0
2024-07-10,La Tinaja,31.94,17.57,55.0
2024-07-11,La Tinaja,31.71,17.44,55.0
2024-07-12,La Tinaja,31.54,17.34,55.0
2024-07-13,La Tinaja,31.43,17.29,55.0
2024-07-14,La Tinaja,31.25,17.18,55.0
2024-07-15,La Tinaja,31.13,17.12,55.0
2024-07-16,La Tinaja,31.17,17.14,55.0
2024-07-17,La Tinaja,32.58,17.92,55.0
2024-07-18,La Tinaja,33.11,18.21,55.0
2024-07-19,La Tinaja,33.32,18.32,55.0
2024-07-20,La Tinaja,33.11,18.21,55.0
2024-07-21,La Tinaja,33.19,18.25,55.0
2024-07-22,La Tinaja,33.35,18.34,55.0
2024-07-23,La Tinaja,33.48,18.42,55.0
2024-07-24,La Tinaja,34.91,19.2,55.0
2024-07-25,La Tinaja,34.65,19.06,55.0
2024-07-26,La Tinaja,34.74,19.11,55.0
2024-07-27,La Tinaja,35.76,19.67,55.0
2024-07-28,La Tinaja,35.88,19.74,55.0
2024-07-29,La Tinaja,35.73,19.65,55.0
2024-07-30,La Tinaja,35.56,19.56,55.0
2024-07-31,La Tinaja,35.52,19.53,55.0
2024-08-01,La Tinaja,35.41,19.47,55.0
2024-08-02,La Tinaja,35.6,19.58,55.0
2024-08-03,La Tinaja,35.55,19.55,55.0
2024-08-04,La Tinaja,35.48,19.52,55.0
2024-08-05,La Tinaja,35.23,19.38,55.0
2024-08-06,La Tinaja,36.19,19.9,55.0
2024-08-07,La Tinaja,35.91,19.75,55.0
2024-08-08,La Tinaja,35.78,19.68,55.0
2024-08-09,La Tinaja,37.1,20.41,55.0
2024-08-10,La Tinaja,37.13,20.42,55.0
2024-08-11,La Tinaja,36.78,20.23,55.0
2024-08-12,La Tinaja,36.73,20.2,55.0
2024-08-13,La Tinaja,36.74,20.21,55.0
2024-08-14,La Tinaja,36.51,20.08,55.0
2024-08-15,La Tinaja,36.56,20.11,55.0
2024-08-16,La Tinaja,36.77,20.23,55.0
2024-08-17,La Tinaja,36.41,20.02,55.0
2024-08-18,La Tinaja,36.59,20.13,55.0
2024-08-19,La Tinaja,36.57,20.11,55.0
2024-08-20,La Tinaja,36.61,20.14,55.0
2024-08-21,La Tinaja,36.27,19.95,55.0
2024-08-22,La Tinaja,36.23,19.92,55.0
2024-08-23,La Tinaja,36.1,19.85,55.0
2024-08-24,La Tinaja,36.09,19.85,55.0
2024-08-25,La Tinaja,36.3,19.97,55.0
2024-08-26,La Tinaja,36.27,19.95,55.0
2024-08-27,La Tinaja,37.21,20.47,55.0
2024-08-28,La Tinaja,37.41,20.58,55.0
2024-08-29,La Tinaja,37.06,20.38,55.0
2024-08-30,La Tinaja,36.66,20.16,55.0
2024-08-31,La Tinaja,36.85,20.27,55.0
2024-09-01,La Tinaja,37.09,20.4,55.0
2024-09-02,La Tinaja,37.31,20.52,55.0
2024-09-03,La Tinaja,37.25,20.49,55.0
2024-09-04,La Tinaja,37.27,20.5,55.0
2024-09-05,La Tinaja,37.14,20.43,55.0
2024-09-06,La Tinaja,37.27,20.5,55.0
2024-09-07,La Tinaja,37.12,20.42,55.0
2024-09-08,La Tinaja,37.02,20.36,55.0
2024-09-09,La Tinaja,39.88,21.94,55.0
2024-09-10,La Tinaja,39.77,21.88,55.0
2024-09-11,La Tinaja,39.68,21.83,55.0
2024-09-12,La Tinaja,39.68,21.82,55.0
2024-09-13,La Tinaja,39.51,21.73,55.0
2024-09-14,La Tinaja,39.73,21.85,55.0
2024-09-15,La Tinaja,39.62,21.79,55.0
2024-09-16,La Tinaja,39.71,21.84,55.0
2024-09-17,La Tinaja,39.77,21.87,55.0
2024-09-18,La Tinaja,39.83,21.91,55.0
2024-09-19,La Tinaja,39.95,21.97,55.0
2024-09-20,La Tinaja,39.78,21.88,55.0
2024-09-21,La Tinaja,39.85,21.92,55.0
2024-09-22,La Tinaja,39.8,21.89,55.0
2024-09-23,La Tinaja,39.65,21.81,55.0
2024-09-24,La Tinaja,39.46,21.7,55.0
2024-09-25,La Tinaja,39.09,21.5,55.0
2024-09-26,La Tinaja,39.1,21.5,55.0
2024-09-27,La Tinaja,39.2,21.56,55.0
2024-09-28,La Tinaja,39.24,21.58,55.0
2024-09-29,La Tinaja,39.29,21.61,55.0
2024-09-30,La Tinaja,39.01,21.46,55.0
2024-10-01,La Tinaja,38.97,21.44,55.0
2024-10-02,La Tinaja,38.96,21.43,55.0
2024-10-03,La Tinaja,38.94,21.42,55.0
2024-10-04,La Tinaja,38.84,21.36,55.0
2024-10-05,La Tinaja,38.87,21.38,55.0
2024-10-06,La Tinaja,39.04,21.47,55.0
2024-10-07,La Tinaja,38.98,21.44,55.0
2024-10-08,La Tinaja,38.92,21.4,55.0
2024-10-09,La Tinaja,38.99,21.44,55.0
2024-10-10,La Tinaja,39.04,21.47,55.0
2024-10-11,La Tinaja,38.94,21.42,55.0
2024-10-12,La Tinaja,38.89,21.39,55.0
2024-10-13,La Tinaja,38.58,21.22,55.0
2024-10-14,La Tinaja,38.6,21.23,55.0
2024-10-15,La Tinaja,38.24,21.03,55.0
2024-10-16,La Tinaja,37.99,20.89,55.0
2024-10-17,La Tinaja,37.9,20.85,55.0
2024-10-18,La Tinaja,37.68,20.72,55.0
2024-10-19,La Tinaja,37.83,20.8,55.0
2024-10-20,La Tinaja,37.63,20.69,55.0
2024-10-21,La Tinaja,37.58,20.67,55.0
2024-10-22,La Tinaja,37.74,20.76,55.0
2024-10-23,La Tinaja,37.61,20.69,55.0
2024-10-24,La Tinaja,38.2,21.01,55.0
2024-10-25,La Tinaja,38.07,20.94,55.0
2024-10-26,La Tinaja,38.84,21.36,55.0
2024-10-27,La Tinaja,38.77,21.33,55.0
2024-10-28,La Tinaja,38.67,21.27,55.0
2024-10-29,La Tinaja,38.53,21.19,55.0
2024-10-30,La Tinaja,38.53,21.19,55.0
2024-10-31,La Tinaja,38.28,21.06,55.0
2024-11-01,La Tinaja,38.12,20.96,55.0
2024-11-02,La Tinaja,38.23,21.02,55.0
2024-11-03,La Tinaja,37.98,20.89,55.0
2024-11-04,La Tinaja,37.91,20.85,55.0
2024-11-05,La Tinaja,37.88,20.83,55.0
2024-11-06,La Tinaja,37.68,20.72,55.0
2024-11-07,La Tinaja,37.83,20.8,55.0
2024-11-08,La Tinaja,38.0,20.9,55.0
2024-11-09,La Tinaja,37.66,20.71,55.0
2024-11-10,La Tinaja,37.39,20.56,55.0
2024-11-11,La Tinaja,37.46,20.6,55.0
2024-11-12,La Tinaja,37.21,20.47,55.0
2024-11-13,La Tinaja,37.11,20.41,55.0
2024-11-14,La Tinaja,37.08,20.39,55.0
2024-11-15,La Tinaja,37.13,20.42,55.0
2024-11-16,La Tinaja,37.05,20.38,55.0
2024-11-17,La Tinaja,37.01,20.36,55.0
2024-11-18,La Tinaja,36.84,20.26,55.0
2024-11-19,La Tinaja,36.99,20.34,55.0
2024-11-20,La Tinaja,36.86,20.27,55.0
2024-11-21,La Tinaja,36.86,20.28,55.0
2024-11-22,La Tinaja,36.74,20.21,55.0
2024-11-23,La Tinaja,36.7,20.19,55.0
2024-11-24,La Tinaja,36.63,20.15,55.0
2024-11-25,La Tinaja,36.55,20.1,55.0
2024-11-26,La Tinaja,36.35,19.99,55.0
2024-11-27,La Tinaja,36.42,20.03,55.0
2024-11-28,La Tinaja,36.58,20.12,55.0
2024-11-29,La Tinaja,36.57,20.11,55.0
2024-11-30,La Tinaja,36.63,20.15,55.0
2024-12-01,La Tinaja,36.71,20.19,55.0
2024-12-02,La Tinaja,36.79,20.24,55.0
2024-12-03,La Tinaja,36.79,20.23,55.0
2024-12-04,La Tinaja,36.77,20.22,55.0
2024-12-05,La Tinaja,36.85,20.27,55.0
2024-12-06,La Tinaja,36.81,20.25,55.0
2024-12-07,La Tinaja,36.62,20.14,55.0
2024-12-08,La Tinaja,36.57,20.11,55.0
2024-12-09,La Tinaja,36.24,19.93,55.0
2024-12-10,La Tinaja,36.18,19.9,55.0
2024-12-11,La Tinaja,36.2,19.91,55.0
2024-12-12,La Tinaja,36.33,19.98,55.0
2024-12-13,La Tinaja,36.31,19.97,55.0
2024-12-14,La Tinaja,36.39,20.02,55.0
2024-12-15,La Tinaja,36.34,19.99,55.0
2024-12-16,La Tinaja,36.14,19.88,55.0
2024-12-17,La Tinaja,35.88,19.73,55.0
2024-12-18,La Tinaja,35.68,19.63,55.0
2024-12-19,La Tinaja,35.43,19.49,55.0
2024-12-20,La Tinaja,35.47,19.51,55.0
2024-12-21,La Tinaja,35.39,19.47,55.0
2024-12-22,La Tinaja,35.43,19.49,55.0
2024-12-23,La Tinaja,35.39,19.46,55.0
2024-12-24,La Tinaja,35.5,19.52,55.0
2024-12-25,La Tinaja,35.6,19.58,55.0
2024-12-26,La Tinaja,35.46,19.5,55.0
2024-12-27,La Tinaja,35.37,19.45,55.0
2024-12-28,La Tinaja,35.24,19.38,55.0
2024-12-29,La Tinaja,34.94,19.22,55.0
2024-12-30,La Tinaja,34.99,19.25,55.0
2024-12-31,La Tinaja,35.12,19.32,55.0
2024-01-01,Peña del Águila,54.95,74.18,135.0
2024-01-02,Peña del Águila,54.84,74.03,135.0
2024-01-03,Peña del Águila,54.92,74.14,135.0
2024-01-04,Peña del Águila,54.58,73.69,135.0
2024-01-05,Peña del Águila,54.55,73.65,135.0
2024-01-06,Peña del Águila,54.52,73.6,135.0
2024-01-07,Peña del Águila,54.4,73.44,135.0
2024-01-08,Peña del Águila,54.51,73.59,135.0
2024-01-09,Peña del Águila,54.58,73.68,135.0
2024-01-10,Peña del Águila,54.5,73.57,135.0
2024-01-11,Peña del Águila,54.44,73.49,135.0
2024-01-12,Peña del Águila,54.34,73.36,135.0
2024-01-13,Peña del Águila,54.22,73.2,135.0
2024-01-14,Peña del Águila,54.02,72.92,135.0
2024-01-15,Peña del Águila,54.13,73.08,135.0
2024-01-16,Peña del Águila,54.2,73.17,135.0
2024-01-17,Peña del Águila,54.25,73.23,135.0
2024-01-18,Peña del Águila,54.06,72.99,135.0
2024-01-19,Peña del Águila,54.26,73.25,135.0
2024-01-20,Peña del Águila,54.45,73.5,135.0
2024-01-21,Peña del Águila,54.42,73.47,135.0
2024-01-22,Peña del Águila,54.26,73.25,135.0
2024-01-23,Peña del Águila,54.1,73.04,135.0
2024-01-24,Peña del Águila,54.1,73.04,135.0
2024-01-25,Peña del Águila,53.94,72.82,135.0
2024-01-26,Peña del Águila,53.89,72.75,135.0
2024-01-27,Peña del Águila,53.96,72.85,135.0
2024-01-28,Peña del Águila,53.73,72.54,135.0
2024-01-29,Peña del Águila,53.92,72.79,135.0
2024-01-30,Peña del Águila,54.06,72.98,135.0
2024-01-31,Peña del Águila,53.86,72.71,135.0
2024-02-01,Peña del Águila,53.63,72.4,135.0
2024-02-02,Peña del Águila,53.54,72.28,135.0
2024-02-03,Peña del Águila,53.36,72.03,135.0
2024-02-04,Peña del Águila,53.27,71.91,135.0
2024-02-05,Peña del Águila,52.9,71.41,135.0
2024-02-06,Peña del Águila,52.81,71.3,135.0
2024-02-07,Peña del Águila,52.97,71.51,135.0
2024-02-08,Peña del Águila,52.78,71.25,135.0
2024-02-09,Peña del Águila,52.69,71.13,135.0
2024-02-10,Peña del Águila,52.45,70.81,135.0
2024-02-11,Peña del Águila,52.47,70.83,135.0
2024-02-12,Peña del Águila,52.38,70.71,135.0
2024-02-13,Peña del Águila,52.56,70.95,135.0
2024-02-14,Peña del Águila,52.52,70.9,135.0
2024-02-15,Peña del Águila,52.42,70.77,135.0
2024-02-16,Peña del Águila,52.43,70.78,135.0
2024-02-17,Peña del Águila,52.31,70.62,135.0
2024-02-18,Peña del Águila,52.09,70.32,135.0
2024-02-19,Peña del Águila,52.07,70.29,135.0
2024-02-20,Peña del Águila,51.99,70.18,135.0
2024-02-21,Peña del Águila,51.95,70.13,135.0
2024-02-22,Peña del Águila,51.93,70.11,135.0
2024-02-23,Peña del Águila,51.82,69.95,135.0
2024-02-24,Peña del Águila,51.81,69.94,135.0
2024-02-25,Peña del Águila,51.96,70.14,135.0
2024-02-26,Peña del Águila,51.77,69.88,135.0
2024-02-27,Peña del Águila,51.92,70.09,135.0
2024-02-28,Peña del Águila,51.83,69.97,135.0
2024-02-29,Peña del Águila,51.68,69.77,135.0
2024-03-01,Peña del Águila,51.89,70.05,135.0
2024-03-02,Peña del Águila,51.83,69.97,135.0
2024-03-03,Peña del Águila,51.91,70.08,135.0
2024-03-04,Peña del Águila,51.93,70.11,135.0
2024-03-05,Peña del Águila,51.65,69.73,135.0
2024-03-06,Peña del Águila,51.59,69.64,135.0
2024-03-07,Peña del Águila,51.44,69.45,135.0
2024-03-08,Peña del Águila,51.2,69.13,135.0
2024-03-09,Peña del Águila,50.91,68.73,135.0
2024-03-10,Peña del Águila,50.84,68.64,135.0
2024-03-11,Peña del Águila,50.84,68.63,135.0
2024-03-12,Peña del Águila,50.8,68.58,135.0
2024-03-13,Peña del Águila,50.69,68.43,135.0
2024-03-14,Peña del Águila,50.51,68.19,135.0
2024-03-15,Peña del Águila,50.31,67.92,135.0
2024-03-16,Peña del Águila,50.17,67.73,135.0
2024-03-17,Peña del Águila,49.96,67.45,135.0
2024-03-18,Peña del Águila,49.86,67.31,135.0
2024-03-19,Peña del Águila,49.78,67.2,135.0
2024-03-20,Peña del Águila,49.59,66.95,135.0
2024-03-21,Peña del Águila,49.48,66.8,135.0
2024-03-22,Peña del Águila,49.31,66.57,135.0
2024-03-23,Peña del Águila,49.23,66.47,135.0
2024-03-24,Peña del Águila,49.22,66.44,135.0
2024-03-25,Peña del Águila,49.16,66.36,135.0
2024-03-26,Peña del Águila,49.13,66.33,135.0
2024-03-27,Peña del Águila,48.86,65.96,135.0
2024-03-28,Peña del Águila,48.73,65.79,135.0
2024-03-29,Peña del Águila,48.69,65.73,135.0
2024-03-30,Peña del Águila,48.68,65.72,135.0
2024-03-31,Peña del Águila,48.41,65.36,135.0
2024-04-01,Peña del Águila,48.32,65.23,135.0
2024-04-02,Peña del Águila,48.35,65.27,135.0
2024-04-03,Peña del Águila,48.22,65.09,135.0
2024-04-04,Peña del Águila,48.09,64.93,135.0
2024-04-05,Peña del Águila,48.04,64.85,135.0
2024-04-06,Peña del Águila,47.95,64.74,135.0
2024-04-07,Peña del Águila,47.92,64.69,135.0
2024-04-08,Peña del Águila,47.82,64.55,135.0
2024-04-09,Peña del Águila,47.72,64.43,135.0
2024-04-10,Peña del Águila,47.52,64.15,135.0
2024-04-11,Peña del Águila,47.39,63.97,135.0
2024-04-12,Peña del Águila,47.42,64.02,135.0
2024-04-13,Peña del Águila,47.29,63.84,135.0
2024-04-14,Peña del Águila,47.15,63.66,135.0
2024-04-15,Peña del Águila,46.98,63.43,135.0
2024-04-16,Peña del Águila,46.96,63.4,135.0
2024-04-17,Peña del Águila,46.75,63.11,135.0
2024-04-18,Peña del Águila,46.75,63.11,135.0
2024-04-19,Peña del Águila,46.52,62.8,135.0
2024-04-20,Peña del Águila,46.28,62.48,135.0
2024-04-21,Peña del Águila,46.2,62.36,135.0
2024-04-22,Peña del Águila,46.1,62.23,135.0
2024-04-23,Peña del Águila,46.02,62.13,135.0
2024-04-24,Peña del Águila,46.04,62.15,135.0
2024-04-25,Peña del Águila,45.88,61.93,135.0
2024-04-26,Peña del Águila,45.82,61.85,135.0
2024-04-27,Peña del Águila,45.59,61.55,135.0
2024-04-28,Peña del Águila,45.63,61.61,135.0
2024-04-29,Peña del Águila,45.6,61.56,135.0
2024-04-30,Peña del Águila,45.55,61.49,135.0
2024-05-01,Peña del Águila,45.44,61.35,135.0
2024-05-02,Peña del Águila,45.22,61.04,135.0
2024-05-03,Peña del Águila,45.05,60.82,135.0
2024-05-04,Peña del Águila,44.98,60.72,135.0
2024-05-05,Peña del Águila,44.85,60.54,135.0
2024-05-06,Peña del Águila,44.73,60.39,135.0
2024-05-07,Peña del Águila,44.44,59.99,135.0
2024-05-08,Peña del Águila,44.33,59.84,135.0
2024-05-09,Peña del Águila,44.12,59.56,135.0
2024-05-10,Peña del Águila,43.86,59.21,135.0
2024-05-11,Peña del Águila,43.71,59.01,135.0
2024-05-12,Peña del Águila,43.36,58.53,135.0
2024-05-13,Peña del Águila,43.31,58.47,135.0
2024-05-14,Peña del Águila,43.28,58.43,135.0
2024-05-15,Peña del Águila,43.14,58.25,135.0
2024-05-16,Peña del Águila,42.9,57.91,135.0
2024-05-17,Peña del Águila,42.65,57.58,135.0
2024-05-18,Peña del Águila,42.5,57.38,135.0
2024-05-19,Peña del Águila,42.08,56.81,135.0
2024-05-20,Peña del Águila,41.97,56.67,135.0
2024-05-21,Peña del Águila,41.92,56.6,135.0
2024-05-22,Peña del Águila,41.76,56.37,135.0
2024-05-23,Peña del Águila,41.57,56.12,135.0
2024-05-24,Peña del Águila,41.46,55.97,135.0
2024-05-25,Peña del Águila,41.37,55.85,135.0
2024-05-26,Peña del Águila,41.37,55.85,135.0
2024-05-27,Peña del Águila,41.25,55.68,135.0
2024-05-28,Peña del Águila,41.03,55.39,135.0
2024-05-29,Peña del Águila,40.85,55.14,135.0
2024-05-30,Peña del Águila,40.74,55.0,135.0
2024-05-31,Peña del Águila,40.8,55.07,135.0
2024-06-01,Peña del Águila,40.51,54.69,135.0
2024-06-02,Peña del Águila,40.45,54.6,135.0
2024-06-03,Peña del Águila,40.21,54.28,135.0
2024-06-04,Peña del Águila,39.97,53.96,135.0
2024-06-05,Peña del Águila,39.69,53.59,135.0
2024-06-06,Peña del Águila,39.53,53.37,135.0
2024-06-07,Peña del Águila,39.49,53.31,135.0
2024-06-08,Peña del Águila,39.41,53.2,135.0
2024-06-09,Peña del Águila,39.2,52.93,135.0
2024-06-10,Peña del Águila,39.23,52.96,135.0
2024-06-11,Peña del Águila,39.25,52.99,135.0
