fecha,region,tmax_c,tmin_c,tmed_c
2022-02-07,Valle del Guadiana,40.6,22.6,30.1
2022-02-08,Valle del Guadiana,42.1,26.5,32.8
2022-02-09,Valle del Guadiana,43.1,28.9,34.1
2022-02-10,Valle del Guadiana,40.3,23.6,31.1
2022-02-11,Valle del Guadiana,41.7,25.7,33.6
2022-02-12,Valle del Guadiana,38.0,22.1,29.8
2022-02-13,Valle del Guadiana,36.1,20.6,29.7
2022-02-14,Valle del Guadiana,41.1,26.7,33.6
2022-02-15,Valle del Guadiana,39.5,24.5,32.1
2022-02-16,Valle del Guadiana,34.8,23.2,29.4
2022-02-17,Valle del Guadiana,38.3,23.3,30.5
2022-02-18,Valle del Guadiana,36.6,21.2,27.8
2022-02-19,Valle del Guadiana,39.5,23.5,31.5
2022-02-20,Valle del Guadiana,36.2,25.7,30.7
2022-02-21,Valle del Guadiana,43.6,28.8,35.1
2022-02-22,Valle del Guadiana,40.6,23.7,33.0
2022-02-23,Valle del Guadiana,38.0,23.0,31.0
2022-02-24,Valle del Guadiana,35.1,19.5,26.6
2022-02-25,Valle del Guadiana,37.7,22.3,28.6
2022-02-26,Valle del Guadiana,34.1,20.8,27.3
2022-02-27,Valle del Guadiana,36.6,21.7,28.5
2022-02-28,Valle del Guadiana,39.4,22.3,31.1
2022-03-01,Valle del Guadiana,34.6,17.4,26.8
2022-03-02,Valle del Guadiana,36.2,22.2,30.2
2022-03-03,Valle del Guadiana,36.1,23.0,30.6
2022-03-04,Valle del Guadiana,35.6,22.6,27.7
2022-03-05,Valle del Guadiana,31.3,16.9,24.4
2022-03-06,Valle del Guadiana,32.0,13.8,24.5
2022-03-07,Valle del Guadiana,36.5,18.4,26.2
2022-03-08,Valle del Guadiana,39.2,21.4,30.0
2022-03-09,Valle del Guadiana,32.6,16.6,25.9
2022-03-10,Valle del Guadiana,37.1,23.1,30.2
2022-03-11,Valle del Guadiana,33.9,19.3,26.4
2022-03-12,Valle del Guadiana,38.0,20.5,29.7
2022-03-13,Valle del Guadiana,32.0,18.2,25.7
2022-03-14,Valle del Guadiana,32.4,16.2,25.3
2022-03-15,Valle del Guadiana,32.0,18.2,24.7
2022-03-16,Valle del Guadiana,31.1,16.7,23.6
2022-03-17,Valle del Guadiana,28.5,15.9,22.3
2022-03-18,Valle del Guadiana,32.2,20.5,26.3
2022-03-19,Valle del Guadiana,32.9,15.9,25.7
2022-03-20,Valle del Guadiana,32.6,16.2,24.9
2022-03-21,Valle del Guadiana,31.5,16.6,24.8
2022-03-22,Valle del Guadiana,28.9,17.2,23.4
2022-03-23,Valle del Guadiana,32.9,17.4,25.6
2022-03-24,Valle del Guadiana,32.6,18.5,25.6
2022-03-25,Valle del Guadiana,27.1,12.3,19.3
2022-03-26,Valle del Guadiana,29.4,16.9,22.8
2022-03-27,Valle del Guadiana,29.3,12.6,19.7
2022-03-28,Valle del Guadiana,29.7,13.9,21.8
2022-03-29,Valle del Guadiana,27.5,11.9,18.8
2022-03-30,Valle del Guadiana,28.3,11.1,19.7
2022-03-31,Valle del Guadiana,27.7,13.3,20.2
2022-04-01,Valle del Guadiana,24.3,10.3,17.6
2022-04-02,Valle del Guadiana,32.9,16.2,23.1
2022-04-03,Valle del Guadiana,29.1,12.3,20.3
2022-04-04,Valle del Guadiana,30.4,12.2,20.7
2022-04-05,Valle del Guadiana,21.6,7.4,15.0
2022-04-06,Valle del Guadiana,24.0,10.6,17.0
2022-04-07,Valle del Guadiana,25.3,12.2,18.7
2022-04-08,Valle del Guadiana,24.6,12.2,19.7
2022-04-09,Valle del Guadiana,29.6,15.6,20.1
2022-04-10,Valle del Guadiana,26.2,10.6,17.5
2022-04-11,Valle del Guadiana,26.7,8.8,17.0
2022-04-12,Valle del Guadiana,28.3,12.5,20.0
2022-04-13,Valle del Guadiana,22.6,7.0,15.5
2022-04-14,Valle del Guadiana,21.5,7.0,15.2
2022-04-15,Valle del Guadiana,23.6,11.0,16.8
2022-04-16,Valle del Guadiana,21.7,6.8,14.2
2022-04-17,Valle del Guadiana,22.6,5.9,14.7
2022-04-18,Valle del Guadiana,28.8,9.6,19.2
2022-04-19,Valle del Guadiana,26.2,12.3,18.6
2022-04-20,Valle del Guadiana,20.9,5.6,12.2
2022-04-21,Valle del Guadiana,23.9,11.3,15.0
2022-04-22,Valle del Guadiana,24.6,9.3,17.3
2022-04-23,Valle del Guadiana,24.6,9.0,18.4
2022-04-24,Valle del Guadiana,18.7,8.3,13.5
2022-04-25,Valle del Guadiana,22.2,8.5,14.5
2022-04-26,Valle del Guadiana,25.2,9.6,16.4
2022-04-27,Valle del Guadiana,16.5,0.4,7.8
2022-04-28,Valle del Guadiana,21.1,8.9,14.4
2022-04-29,Valle del Guadiana,17.0,3.4,11.3
2022-04-30,Valle del Guadiana,21.9,6.6,13.7
2022-05-01,Valle del Guadiana,18.3,5.3,12.4
2022-05-02,Valle del Guadiana,18.9,5.4,12.6
2022-05-03,Valle del Guadiana,12.5,-1.5,5.7
2022-05-04,Valle del Guadiana,20.2,5.9,12.8
2022-05-05,Valle del Guadiana,21.5,5.9,12.5
2022-05-06,Valle del Guadiana,17.1,0.4,7.4
2022-05-07,Valle del Guadiana,17.6,2.2,9.6
2022-05-08,Valle del Guadiana,17.6,4.2,11.9
2022-05-09,Valle del Guadiana,20.3,2.8,9.1
2022-05-10,Valle del Guadiana,15.3,2.8,9.7
2022-05-11,Valle del Guadiana,17.8,1.7,9.0
2022-05-12,Valle del Guadiana,17.3,0.2,7.5
2022-05-13,Valle del Guadiana,17.0,2.6,9.6
2022-05-14,Valle del Guadiana,12.6,-2.5,6.2
2022-05-15,Valle del Guadiana,13.4,-1.0,6.4
2022-05-16,Valle del Guadiana,17.0,0.7,7.2
2022-05-17,Valle del Guadiana,14.0,0.6,6.2
2022-05-18,Valle del Guadiana,12.1,-2.5,4.7
2022-05-19,Valle del Guadiana,13.2,-4.0,5.5
2022-05-20,Valle del Guadiana,12.0,-2.6,4.7
2022-05-21,Valle del Guadiana,12.5,-1.6,5.7
2022-05-22,Valle del Guadiana,14.4,2.3,7.4
2022-05-23,Valle del Guadiana,16.6,1.3,8.8
2022-05-24,Valle del Guadiana,13.6,0.7,7.4
2022-05-25,Valle del Guadiana,14.8,-0.1,6.9
2022-05-26,Valle del Guadiana,14.7,-2.3,6.1
2022-05-27,Valle del Guadiana,8.0,-4.4,2.1
2022-05-28,Valle del Guadiana,5.9,-10.4,-1.8
2022-05-29,Valle del Guadiana,9.0,-4.4,1.9
2022-05-30,Valle del Guadiana,9.7,-4.3,2.7
2022-05-31,Valle del Guadiana,11.5,-2.6,3.2
2022-06-01,Valle del Guadiana,12.3,-4.9,1.3
2022-06-02,Valle del Guadiana,6.9,-4.5,-0.3
2022-06-03,Valle del Guadiana,12.1,-3.3,3.2
2022-06-04,Valle del Guadiana,12.3,-4.6,2.6
2022-06-05,Valle del Guadiana,10.8,-5.1,2.4
2022-06-06,Valle del Guadiana,10.6,-4.1,4.8
2022-06-07,Valle del Guadiana,13.6,-2.4,5.7
2022-06-08,Valle del Guadiana,5.2,-9.5,-1.2
2022-06-09,Valle del Guadiana,6.7,-9.8,-2.6
2022-06-10,Valle del Guadiana,11.5,-3.7,4.5
2022-06-11,Valle del Guadiana,11.0,-6.6,1.1
2022-06-12,Valle del Guadiana,7.1,-8.5,-0.5
2022-06-13,Valle del Guadiana,8.9,-5.4,1.3
2022-06-14,Valle del Guadiana,8.5,-5.8,1.0
2022-06-15,Valle del Guadiana,9.0,-5.9,0.2
2022-06-16,Valle del Guadiana,10.8,-3.2,4.5
2022-06-17,Valle del Guadiana,6.2,-7.9,1.0
2022-06-18,Valle del Guadiana,6.3,-4.5,1.1
2022-06-19,Valle del Guadiana,1.5,-9.5,-4.0
2022-06-20,Valle del Guadiana,7.2,-8.4,-0.7
2022-06-21,Valle del Guadiana,10.2,-3.9,1.1
2022-06-22,Valle del Guadiana,5.9,-6.6,1.3
2022-06-23,Valle del Guadiana,7.9,-9.2,-1.4
2022-06-24,Valle del Guadiana,9.7,-4.1,3.1
2022-06-25,Valle del Guadiana,10.3,-4.2,2.4
2022-06-26,Valle del Guadiana,5.8,-9.0,-1.1
2022-06-27,Valle del Guadiana,2.6,-14.0,-6.1
2022-06-28,Valle del Guadiana,12.2,-1.1,4.8
2022-06-29,Valle del Guadiana,9.9,-9.4,-0.4
2022-06-30,Valle del Guadiana,8.5,-7.4,-0.6
2022-07-01,Valle del Guadiana,5.8,-10.0,-1.6
2022-07-02,Valle del Guadiana,7.5,-7.0,0.1
2022-07-03,Valle del Guadiana,5.1,-11.1,-2.0
2022-07-04,Valle del Guadiana,7.0,-7.2,0.4
2022-07-05,Valle del Guadiana,8.5,-7.0,0.2
2022-07-06,Valle del Guadiana,6.1,-10.4,-1.5
2022-07-07,Valle del Guadiana,10.7,-7.3,0.7
2022-07-08,Valle del Guadiana,3.7,-11.9,-3.8
2022-07-09,Valle del Guadiana,3.1,-9.2,-2.0
2022-07-10,Valle del Guadiana,2.3,-11.0,-3.7
2022-07-11,Valle del Guadiana,7.0,-9.4,-1.1
2022-07-12,Valle del Guadiana,6.0,-11.0,-4.1
2022-07-13,Valle del Guadiana,4.8,-7.4,-1.3
2022-07-14,Valle del Guadiana,0.3,-12.6,-6.4
2022-07-15,Valle del Guadiana,6.1,-8.7,-0.3
2022-07-16,Valle del Guadiana,11.2,-3.0,3.2
2022-07-17,Valle del Guadiana,9.8,-5.1,2.0
2022-07-18,Valle del Guadiana,6.6,-9.7,-1.6
2022-07-19,Valle del Guadiana,2.1,-13.8,-5.3
2022-07-20,Valle del Guadiana,6.1,-8.3,-2.3
2022-07-21,Valle del Guadiana,6.8,-9.2,-1.1
2022-07-22,Valle del Guadiana,5.0,-11.5,-3.5
2022-07-23,Valle del Guadiana,8.0,-6.8,1.2
2022-07-24,Valle del Guadiana,7.0,-8.2,-0.6
2022-07-25,Valle del Guadiana,7.0,-9.4,-1.0
2022-07-26,Valle del Guadiana,4.4,-11.7,-3.9
2022-07-27,Valle del Guadiana,4.1,-10.4,-2.6
2022-07-28,Valle del Guadiana,6.5,-8.6,-0.2
2022-07-29,Valle del Guadiana,5.5,-8.5,-1.2
2022-07-30,Valle del Guadiana,6.1,-9.3,-1.8
2022-07-31,Valle del Guadiana,3.6,-11.8,-4.9
2022-08-01,Valle del Guadiana,-0.5,-16.0,-7.2
2022-08-02,Valle del Guadiana,5.7,-12.4,-3.0
2022-08-03,Valle del Guadiana,4.4,-10.4,-3.8
2022-08-04,Valle del Guadiana,5.3,-11.6,-3.2
2022-08-05,Valle del Guadiana,11.7,-4.9,2.9
2022-08-06,Valle del Guadiana,5.5,-12.5,-3.7
2022-08-07,Valle del Guadiana,3.6,-8.4,-2.4
2022-08-08,Valle del Guadiana,10.7,-2.9,1.6
2022-08-09,Valle del Guadiana,10.2,-3.5,3.1
2022-08-10,Valle del Guadiana,9.7,-6.7,0.9
2022-08-11,Valle del Guadiana,9.9,-4.6,2.4
2022-08-12,Valle del Guadiana,7.8,-10.9,-2.0
2022-08-13,Valle del Guadiana,9.6,-6.8,1.6
2022-08-14,Valle del Guadiana,8.2,-5.3,0.9
2022-08-15,Valle del Guadiana,8.6,-6.0,2.6
2022-08-16,Valle del Guadiana,4.5,-8.8,-1.9
2022-08-17,Valle del Guadiana,10.7,-5.5,1.9
2022-08-18,Valle del Guadiana,4.0,-13.1,-4.9
2022-08-19,Valle del Guadiana,10.0,-6.7,1.9
2022-08-20,Valle del Guadiana,6.6,-6.7,0.1
2022-08-21,Valle del Guadiana,5.4,-8.8,-2.3
2022-08-22,Valle del Guadiana,9.8,-4.9,1.3
2022-08-23,Valle del Guadiana,8.1,-5.8,0.9
2022-08-24,Valle del Guadiana,7.6,-5.5,-0.0
2022-08-25,Valle del Guadiana,11.8,0.2,5.6
2022-08-26,Valle del Guadiana,9.3,-4.5,2.1
2022-08-27,Valle del Guadiana,6.0,-7.1,-1.6
2022-08-28,Valle del Guadiana,14.2,-0.5,4.6
2022-08-29,Valle del Guadiana,6.6,-9.3,-1.7
2022-08-30,Valle del Guadiana,11.7,-3.5,4.6
2022-08-31,Valle del Guadiana,13.2,-4.1,3.6
2022-09-01,Valle del Guadiana,8.1,-10.1,-0.9
2022-09-02,Valle del Guadiana,9.1,-6.3,1.7
2022-09-03,Valle del Guadiana,14.7,-0.1,5.6
2022-09-04,Valle del Guadiana,11.1,-2.9,3.8
2022-09-05,Valle del Guadiana,15.5,-0.7,7.5
2022-09-06,Valle del Guadiana,7.4,-8.6,-0.9
2022-09-07,Valle del Guadiana,10.5,-6.4,2.4
2022-09-08,Valle del Guadiana,10.6,-2.8,3.6
2022-09-09,Valle del Guadiana,11.8,-3.0,5.0
2022-09-10,Valle del Guadiana,13.1,-1.1,6.8
2022-09-11,Valle del Guadiana,15.2,-2.6,6.1
2022-09-12,Valle del Guadiana,11.2,-3.4,4.6
2022-09-13,Valle del Guadiana,11.1,-2.5,6.4
2022-09-14,Valle del Guadiana,13.9,-0.2,7.7
2022-09-15,Valle del Guadiana,11.8,-2.9,4.5
2022-09-16,Valle del Guadiana,12.5,2.1,7.0
2022-09-17,Valle del Guadiana,13.3,-2.0,6.8
2022-09-18,Valle del Guadiana,16.0,1.3,8.5
2022-09-19,Valle del Guadiana,14.5,-2.6,5.3
2022-09-20,Valle del Guadiana,13.5,-2.6,5.4
2022-09-21,Valle del Guadiana,14.7,1.8,9.0
2022-09-22,Valle del Guadiana,15.3,2.5,8.9
2022-09-23,Valle del Guadiana,16.0,0.2,9.7
2022-09-24,Valle del Guadiana,14.9,-2.1,6.2
2022-09-25,Valle del Guadiana,15.3,0.3,7.5
2022-09-26,Valle del Guadiana,19.5,5.2,12.1
2022-09-27,Valle del Guadiana,14.8,-2.0,7.9
2022-09-28,Valle del Guadiana,17.3,1.9,9.1
2022-09-29,Valle del Guadiana,13.3,-4.4,5.1
2022-09-30,Valle del Guadiana,13.9,-0.8,7.5
2022-10-01,Valle del Guadiana,12.4,-3.7,7.2
2022-10-02,Valle del Guadiana,19.3,2.8,10.5
2022-10-03,Valle del Guadiana,18.4,2.3,11.3
2022-10-04,Valle del Guadiana,21.9,5.3,12.6
2022-10-05,Valle del Guadiana,22.3,4.2,14.2
2022-10-06,Valle del Guadiana,16.8,4.4,10.6
2022-10-07,Valle del Guadiana,16.7,0.6,8.7
2022-10-08,Valle del Guadiana,21.2,5.8,13.4
2022-10-09,Valle del Guadiana,24.3,8.5,16.7
2022-10-10,Valle del Guadiana,18.7,5.6,12.2
2022-10-11,Valle del Guadiana,21.9,5.9,14.4
2022-10-12,Valle del Guadiana,20.5,6.5,14.1
2022-10-13,Valle del Guadiana,24.1,7.2,15.8
2022-10-14,Valle del Guadiana,22.5,9.1,16.2
2022-10-15,Valle del Guadiana,22.8,5.8,14.2
2022-10-16,Valle del Guadiana,22.9,8.7,16.3
2022-10-17,Valle del Guadiana,23.7,7.8,15.8
2022-10-18,Valle del Guadiana,24.8,6.2,16.1
2022-10-19,Valle del Guadiana,20.2,6.5,13.7
2022-10-20,Valle del Guadiana,20.7,6.0,15.2
2022-10-21,Valle del Guadiana,24.8,10.6,16.6
2022-10-22,Valle del Guadiana,25.9,10.9,18.4
2022-10-23,Valle del Guadiana,23.2,6.7,15.6
2022-10-24,Valle del Guadiana,24.3,8.5,17.3
2022-10-25,Valle del Guadiana,20.4,9.8,15.5
2022-10-26,Valle del Guadiana,25.1,10.2,17.4
2022-10-27,Valle del Guadiana,28.7,12.7,20.1
2022-10-28,Valle del Guadiana,26.0,10.9,19.1
2022-10-29,Valle del Guadiana,23.5,10.3,16.0
2022-10-30,Valle del Guadiana,26.4,9.7,18.4
2022-10-31,Valle del Guadiana,29.9,15.7,21.3
2022-11-01,Valle del Guadiana,27.5,11.3,19.1
2022-11-02,Valle del Guadiana,23.1,11.6,17.0
2022-11-03,Valle del Guadiana,29.7,15.6,22.2
2022-11-04,Valle del Guadiana,27.9,14.5,19.3
2022-11-05,Valle del Guadiana,29.6,15.5,22.7
2022-11-06,Valle del Guadiana,33.4,18.5,24.6
2022-11-07,Valle del Guadiana,27.3,11.5,20.2
2022-11-08,Valle del Guadiana,33.9,17.1,24.0
2022-11-09,Valle del Guadiana,30.8,18.0,21.8
2022-11-10,Valle del Guadiana,30.9,15.3,24.3
2022-11-11,Valle del Guadiana,33.5,17.3,25.8
2022-11-12,Valle del Guadiana,30.0,15.9,23.8
2022-11-13,Valle del Guadiana,34.0,16.8,24.9
2022-11-14,Valle del Guadiana,28.5,12.9,21.9
2022-11-15,Valle del Guadiana,32.3,17.1,23.2
2022-11-16,Valle del Guadiana,36.0,20.6,27.0
2022-11-17,Valle del Guadiana,32.8,18.0,24.9
2022-11-18,Valle del Guadiana,33.0,18.6,25.2
2022-11-19,Valle del Guadiana,30.5,15.3,23.1
2022-11-20,Valle del Guadiana,32.0,15.9,23.1
2022-11-21,Valle del Guadiana,36.6,18.9,26.4
2022-11-22,Valle del Guadiana,31.8,15.7,25.5
2022-11-23,Valle del Guadiana,33.2,20.1,27.3
2022-11-24,Valle del Guadiana,32.2,19.0,26.6
2022-11-25,Valle del Guadiana,35.5,20.4,27.4
2022-11-26,Valle del Guadiana,40.0,26.7,32.9
2022-11-27,Valle del Guadiana,35.6,21.1,27.7
2022-11-28,Valle del Guadiana,35.1,18.8,27.2
2022-11-29,Valle del Guadiana,33.9,19.5,27.0
2022-11-30,Valle del Guadiana,35.1,17.7,26.6
2022-12-01,Valle del Guadiana,37.0,19.4,28.5
2022-12-02,Valle del Guadiana,36.7,21.0,28.9
2022-12-03,Valle del Guadiana,35.3,18.5,28.5
2022-12-04,Valle del Guadiana,38.7,25.1,31.4
2022-12-05,Valle del Guadiana,36.4,21.9,30.7
2022-12-06,Valle del Guadiana,34.3,19.1,25.4
2022-12-07,Valle del Guadiana,42.2,26.8,33.6
2022-12-08,Valle del Guadiana,36.5,22.2,30.8
2022-12-09,Valle del Guadiana,35.3,20.2,28.5
2022-12-10,Valle del Guadiana,40.0,23.5,30.7
2022-12-11,Valle del Guadiana,37.4,26.9,32.6
2022-12-12,Valle del Guadiana,41.7,26.6,33.3
2022-12-13,Valle del Guadiana,39.2,23.2,31.5
2022-12-14,Valle del Guadiana,39.8,23.8,33.2
2022-12-15,Valle del Guadiana,34.4,21.9,27.7
2022-12-16,Valle del Guadiana,36.6,23.6,29.9
2022-12-17,Valle del Guadiana,37.2,22.2,30.2
2022-12-18,Valle del Guadiana,35.7,23.2,29.2
2022-12-19,Valle del Guadiana,36.7,16.8,27.6
2022-12-20,Valle del Guadiana,37.7,21.7,28.6
2022-12-21,Valle del Guadiana,42.9,27.4,33.4
2022-12-22,Valle del Guadiana,36.4,20.8,27.7
2022-12-23,Valle del Guadiana,42.3,25.0,31.7
2022-12-24,Valle del Guadiana,38.7,23.5,32.0
2022-12-25,Valle del Guadiana,40.6,24.7,31.8
2022-12-26,Valle del Guadiana,37.7,20.9,29.4
2022-12-27,Valle del Guadiana,42.2,25.9,33.7
2022-12-28,Valle del Guadiana,37.3,24.4,31.1
2022-12-29,Valle del Guadiana,40.5,24.2,33.0
2022-12-30,Valle del Guadiana,37.3,24.1,30.3
2022-12-31,Valle del Guadiana,42.3,26.7,33.1
2023-01-01,Valle del Guadiana,40.0,24.4,31.7
2023-01-02,Valle del Guadiana,37.6,21.2,29.7
2023-01-03,Valle del Guadiana,37.2,21.7,30.8
2023-01-04,Valle del Guadiana,44.2,28.0,35.3
2023-01-05,Valle del Guadiana,43.6,24.4,34.6
2023-01-06,Valle del Guadiana,40.9,24.4,32.0
2023-01-07,Valle del Guadiana,39.9,25.1,32.1
2023-01-08,Valle del Guadiana,37.7,25.8,32.0
2023-01-09,Valle del Guadiana,43.3,29.8,34.7
2023-01-10,Valle del Guadiana,39.3,23.8,31.0
2023-01-11,Valle del Guadiana,37.9,22.7,29.5
2023-01-12,Valle del Guadiana,43.2,27.4,36.7
2023-01-13,Valle del Guadiana,36.8,24.0,30.9
2023-01-14,Valle del Guadiana,41.4,25.1,34.1
2023-01-15,Valle del Guadiana,43.2,26.3,33.0
2023-01-16,Valle del Guadiana,40.7,24.1,34.3
2023-01-17,Valle del Guadiana,40.9,26.7,32.7
2023-01-18,Valle del Guadiana,39.7,24.1,32.9
2023-01-19,Valle del Guadiana,43.5,26.5,34.9
2023-01-20,Valle del Guadiana,38.1,22.6,28.4
2023-01-21,Valle del Guadiana,38.1,26.6,31.1
2023-01-22,Valle del Guadiana,42.6,28.7,35.3
2023-01-23,Valle del Guadiana,41.5,25.2,34.6
2023-01-24,Valle del Guadiana,41.1,25.6,31.9
2023-01-25,Valle del Guadiana,39.3,22.0,30.2
2023-01-26,Valle del Guadiana,42.8,26.0,33.7
2023-01-27,Valle del Guadiana,40.6,24.2,34.7
2023-01-28,Valle del Guadiana,34.5,20.1,29.5
2023-01-29,Valle del Guadiana,39.8,25.6,32.6
2023-01-30,Valle del Guadiana,39.7,22.0,31.1
2023-01-31,Valle del Guadiana,36.9,24.6,31.1
2023-02-01,Valle del Guadiana,40.1,27.2,33.4
2023-02-02,Valle del Guadiana,36.3,21.6,29.1
2023-02-03,Valle del Guadiana,43.2,27.4,34.3
2023-02-04,Valle del Guadiana,43.7,29.0,35.7
2023-02-05,Valle del Guadiana,41.9,24.2,32.1
2023-02-06,Valle del Guadiana,37.8,22.5,30.3
2023-02-07,Valle del Guadiana,39.3,26.2,32.3
2023-02-08,Valle del Guadiana,38.0,20.2,29.2
2023-02-09,Valle del Guadiana,37.4,23.2,30.2
2023-02-10,Valle del Guadiana,34.8,22.0,27.7
2023-02-11,Valle del Guadiana,40.4,29.1,33.4
2023-02-12,Valle del Guadiana,36.6,23.6,29.7
2023-02-13,Valle del Guadiana,40.5,23.9,32.9
2023-02-14,Valle del Guadiana,37.5,19.3,28.4
2023-02-15,Valle del Guadiana,40.4,25.1,33.9
2023-02-16,Valle del Guadiana,33.8,19.9,27.8
2023-02-17,Valle del Guadiana,36.0,23.9,31.6
2023-02-18,Valle del Guadiana,39.0,23.6,31.8
2023-02-19,Valle del Guadiana,40.3,23.1,31.5
2023-02-20,Valle del Guadiana,38.7,24.1,31.8
2023-02-21,Valle del Guadiana,35.6,20.1,28.5
2023-02-22,Valle del Guadiana,40.7,25.9,32.9
2023-02-23,Valle del Guadiana,37.2,23.4,29.3
2023-02-24,Valle del Guadiana,35.0,19.5,28.2
2023-02-25,Valle del Guadiana,34.4,20.2,27.4
2023-02-26,Valle del Guadiana,34.9,20.5,27.2
2023-02-27,Valle del Guadiana,39.4,22.5,31.3
2023-02-28,Valle del Guadiana,38.3,23.1,30.1
2023-03-01,Valle del Guadiana,37.5,20.9,29.0
2023-03-02,Valle del Guadiana,37.0,20.5,29.5
2023-03-03,Valle del Guadiana,39.7,24.9,32.2
2023-03-04,Valle del Guadiana,34.7,19.2,27.9
2023-03-05,Valle del Guadiana,36.8,20.5,30.2
2023-03-06,Valle del Guadiana,30.7,15.2,23.6
2023-03-07,Valle del Guadiana,37.9,23.2,31.8
2023-03-08,Valle del Guadiana,35.8,23.9,28.8
2023-03-09,Valle del Guadiana,34.2,20.7,27.7
2023-03-10,Valle del Guadiana,34.3,17.5,24.3
2023-03-11,Valle del Guadiana,36.1,20.4,27.3
2023-03-12,Valle del Guadiana,34.6,17.8,25.7
2023-03-13,Valle del Guadiana,34.2,18.2,26.7
2023-03-14,Valle del Guadiana,30.6,13.8,22.3
2023-03-15,Valle del Guadiana,35.9,19.1,27.5
2023-03-16,Valle del Guadiana,27.1,10.1,19.4
2023-03-17,Valle del Guadiana,35.0,21.5,28.2
2023-03-18,Valle del Guadiana,33.9,19.5,26.6
2023-03-19,Valle del Guadiana,36.2,19.1,28.0
2023-03-20,Valle del Guadiana,30.7,16.5,23.0
2023-03-21,Valle del Guadiana,30.0,13.7,21.4
2023-03-22,Valle del Guadiana,30.5,14.9,23.7
2023-03-23,Valle del Guadiana,27.6,13.9,21.4
2023-03-24,Valle del Guadiana,27.4,12.1,20.1
2023-03-25,Valle del Guadiana,30.9,16.4,23.7
2023-03-26,Valle del Guadiana,29.9,14.2,20.6
2023-03-27,Valle del Guadiana,28.1,11.9,20.1
2023-03-28,Valle del Guadiana,26.7,12.2,19.8
2023-03-29,Valle del Guadiana,27.4,8.2,18.6
2023-03-30,Valle del Guadiana,28.4,13.7,19.8
2023-03-31,Valle del Guadiana,30.8,16.8,24.4
2023-04-01,Valle del Guadiana,27.6,10.7,18.7
2023-04-02,Valle del Guadiana,26.7,13.5,19.4
2023-04-03,Valle del Guadiana,25.0,12.1,20.3
2023-04-04,Valle del Guadiana,28.0,12.1,18.7
2023-04-05,Valle del Guadiana,24.5,11.9,18.5
2023-04-06,Valle del Guadiana,25.5,10.9,18.0
2023-04-07,Valle del Guadiana,30.9,16.3,23.1
2023-04-08,Valle del Guadiana,25.3,14.2,20.0
2023-04-09,Valle del Guadiana,23.2,6.8,14.3
2023-04-10,Valle del Guadiana,23.6,9.4,16.4
2023-04-11,Valle del Guadiana,25.5,9.4,18.2
2023-04-12,Valle del Guadiana,25.0,9.2,17.0
2023-04-13,Valle del Guadiana,22.0,7.1,16.4
2023-04-14,Valle del Guadiana,24.6,7.7,15.9
2023-04-15,Valle del Guadiana,21.5,7.1,15.4
2023-04-16,Valle del Guadiana,23.4,7.5,15.1
2023-04-17,Valle del Guadiana,23.6,9.5,16.1
2023-04-18,Valle del Guadiana,21.8,8.4,15.6
2023-04-19,Valle del Guadiana,21.7,4.5,14.4
